17000,0,2213,12983,-0.7834
17000,0,2215,13036,-0.8027
17000,0,2212,13038,-0.8034
17000,0,2207,12910,-0.7568
17000,0,2207,12985,-0.7841
17000,0,2217,12983,-0.7834
17000,0,2213,12974,-0.7801
17000,0,2209,12980,-0.7823
17000,0,2207,12983,-0.7834
17000,0,2207,12996,-0.7881
17000,0,2215,12976,-0.7808
17000,0,2215,12988,-0.7852
17000,0,2212,12985,-0.7841
17000,0,2209,12987,-0.7848
17000,0,2207,12985,-0.7841
17000,0,2213,12985,-0.7841
17000,0,2207,12971,-0.7790
17000,0,2207,12981,-0.7827
17000,0,2213,13010,-0.7932
17000,0,2207,12978,-0.7816
17000,0,2209,12989,-0.7856
17000,0,2215,13006,-0.7918
17000,0,2213,12965,-0.7768
17000,0,2211,12929,-0.7637
17000,0,2213,12957,-0.7739
17000,0,2207,13013,-0.7943
17000,0,2213,12965,-0.7768
17000,0,2209,12971,-0.7790
17000,0,2209,12981,-0.7827
17000,0,2207,12981,-0.7827
17000,0,2213,12957,-0.7739
17000,0,2215,12975,-0.7805
17000,0,2209,12986,-0.7845
17000,0,2212,12988,-0.7852
17000,0,2213,12967,-0.7776
17000,0,2211,12982,-0.7830
17000,0,2209,12967,-0.7776
17000,0,2223,12959,-0.7746
17000,0,2221,12983,-0.7834
17000,0,2207,12966,-0.7772
17000,0,2205,12959,-0.7746
17000,0,2205,13009,-0.7929
17000,0,2213,12956,-0.7735
17000,0,2213,12980,-0.7823
17000,0,2205,12954,-0.7728
17000,0,2207,12965,-0.7768
17000,0,2196,12981,-0.7827
17000,0,2209,12981,-0.7827
17000,0,2209,12905,-0.7550
17000,0,2213,12981,-0.7827
17000,0,2215,12967,-0.7776
17000,0,2220,12962,-0.7757
17000,0,2209,12991,-0.7863
17000,0,2207,12906,-0.7553
17000,0,2217,12972,-0.7794
17000,0,2207,12981,-0.7827
17000,0,2208,12982,-0.7830
17000,0,2212,13021,-0.7972
17000,0,2213,12967,-0.7776
17000,0,2229,12964,-0.7765
17000,0,2212,12917,-0.7593
17000,0,2213,12973,-0.7797
17000,0,2215,12983,-0.7834
17000,0,2207,12912,-0.7575
17000,0,2208,12982,-0.7830
