17000,0,2213,10876,-0.0153
17000,0,2197,10816,0.0065
17000,0,2207,10820,0.0051
17000,0,2212,10817,0.0062
17000,0,2213,10824,0.0036
17000,0,2205,10829,0.0018
17000,0,2207,10811,0.0083
17000,0,2213,10821,0.0047
17000,0,2229,10822,0.0043
17000,0,2209,10827,0.0025
17000,0,2221,10753,0.0295
17000,0,2215,10828,0.0021
17000,0,2213,10823,0.0040
17000,0,2215,10792,0.0153
17000,0,2205,10833,0.0003
17000,0,2217,10816,0.0065
17000,0,2215,10823,0.0040
17000,0,2221,10828,0.0021
17000,0,2213,10828,0.0021
17000,0,2215,10841,-0.0026
17000,0,2207,10838,-0.0015
17000,0,2213,10811,0.0083
17000,0,2207,10807,0.0098
17000,0,2228,10823,0.0040
17000,0,2213,10824,0.0036
17000,0,2208,10822,0.0043
17000,0,2213,10785,0.0178
17000,0,2208,10867,-0.0121
17000,0,2207,10868,-0.0124
17000,0,2217,10824,0.0036
17000,0,2215,10838,-0.0015
17000,0,2213,10901,-0.0245
17000,0,2213,10881,-0.0172
17000,0,2205,10823,0.0040
17000,0,2211,10829,0.0018
17000,0,2207,10813,0.0076
17000,0,2215,10834,-0.0000
17000,0,2207,10902,-0.0248
17000,0,2220,10797,0.0134
17000,0,2263,10822,0.0043
17000,0,2213,10820,0.0051
17000,0,2213,10841,-0.0026
17000,0,2213,10843,-0.0033
17000,0,2221,10837,-0.0011
17000,0,2215,10821,0.0047
17000,0,2221,10834,-0.0000
17000,0,2215,10846,-0.0044
17000,0,2209,10816,0.0065
17000,0,2209,10822,0.0043
17000,0,2201,10826,0.0029
17000,0,2209,10823,0.0040
17000,0,2212,10836,-0.0008
17000,0,2215,10813,0.0076
17000,0,2213,10823,0.0040
17000,0,2207,10825,0.0032
17000,0,2227,10820,0.0051
17000,0,2220,10823,0.0040
17000,0,2191,10821,0.0047
17000,0,2213,10829,0.0018
17000,0,2215,10826,0.0029
17000,0,2207,10831,0.0011
17000,0,2217,10829,0.0018
17000,0,2215,10821,0.0047
17000,0,2209,10901,-0.0245
17000,0,2217,10838,-0.0015
17000,0,2201,10825,0.0032
17000,0,2221,10830,0.0014
17000,0,2201,10816,0.0065
17000,0,2221,10825,0.0032
