source,id,kp,dir,sat,theta0,ss,ref,ss_err,peak,os_pct,tp_ms,onset_ms,v_max,zeta,wn,k1,tau,peak_width_ms,flat_ratio,exclude,warn
test kp20.txt,1,-20.0000,-1,0,0.1017,-0.1003,-0.1000,0.0003,-0.1254,12.4594,90.1133,10.0000,4.3690,0.5525,41.8279,-1.8925,0.0216,22.0000,0.8503,,
test kp20.txt,2,-20.0000,1,0,-0.1006,0.1000,0.1000,-0.0000,0.1223,11.1052,88.0563,10.0000,4.4030,0.5732,43.5406,-1.8989,0.0200,21.0000,0.8306,,
