17000,0,1343,10842
17000,0,1343,10826
17000,0,1339,10830
17000,0,1343,10839
17000,0,1350,10783
17000,0,1359,10843
17000,0,1343,10856
17000,0,1351,10838
17000,0,1347,10839
17000,0,1347,10842
17000,0,1343,10853
17000,0,1343,10842
17000,0,1346,10837
17000,0,1347,10878
17000,0,1343,10843
17000,0,1343,10845
17000,0,1387,10839
17000,0,1343,10843
17000,0,1351,10839
17000,0,1355,10841
17000,0,1340,10837
17000,0,1347,10842
17000,0,1343,10848
17000,0,1335,10850
17000,0,1349,10849
17000,0,1343,10827
17000,0,1333,10838
17000,0,1347,10869
17000,0,1370,10843
17000,0,1343,10839
17000,0,1343,10841
17000,0,1338,10842
17000,0,1343,10782
17000,0,1347,10838
17000,0,1349,10842
17000,0,1351,10789
17000,0,1355,10824
17000,0,1343,10871
17000,0,1359,10842
17000,0,1356,10839
17000,0,1348,10836
17000,0,1350,10837
17000,0,1343,10842
17000,0,1359,10838
17000,0,1343,10847
17000,0,1337,10839
17000,0,1351,10845
17000,0,1353,10845
17000,0,1355,10840
17000,0,1354,10848
17000,0,1353,10840
17000,0,1347,10839
17000,0,1339,10821
17000,0,1348,10838
17000,0,1359,10868
17000,0,1343,10838
17000,0,1355,10836
17000,0,1335,10841
17000,0,1343,10842
17000,0,1351,10854
17000,0,1360,10802
17000,0,1359,10836
17000,0,1387,10840
17000,0,1343,10841
17000,0,1366,10837
17000,0,1315,10837
17000,0,1359,10843
17000,0,1344,10841
17000,0,1355,10848
17000,0,1359,10846
17000,0,1367,10839
17000,0,1343,10839
17000,0,1347,10837
17000,0,1348,10846
17000,0,1349,10853
17000,0,1347,10826
17000,0,1351,10839
17000,0,1359,10837
17000,0,1335,10837
17000,0,1355,10829
17000,0,1363,10841
17000,0,1358,10843
17000,0,1349,10835
17000,0,1351,10834
17000,0,1351,10832
17000,0,1347,10852
17000,0,1347,10848
17000,0,1349,10842
