17000,0,1111,8705
17000,0,1115,8678
17000,0,1111,8676
17000,0,1112,8669
17000,0,1119,8687
17000,0,1107,8678
17000,0,1107,8670
17000,0,1107,8665
17000,0,1111,8679
17000,0,1113,8670
17000,0,1091,8681
17000,0,1175,8675
17000,0,1107,8678
17000,0,1115,8676
17000,0,1109,8672
17000,0,1111,8680
17000,0,1107,8674
17000,0,1096,8681
17000,0,1111,8684
17000,0,1119,8673
17000,0,1109,8678
17000,0,1103,8675
17000,0,1103,8676
17000,0,1095,8685
17000,0,1110,8676
17000,0,1119,8675
17000,0,1111,8677
17000,0,1103,8671
17000,0,1107,8694
17000,0,1104,8681
17000,0,1103,8674
17000,0,1119,8682
17000,0,1111,8686
17000,0,1113,8669
17000,0,1103,8708
17000,0,1125,8677
17000,0,1116,8683
17000,0,1108,8665
17000,0,1113,8679
17000,0,1117,8675
17000,0,1111,8674
17000,0,1111,8672
17000,0,1115,8679
17000,0,1111,8679
17000,0,1102,8673
17000,0,1115,8682
17000,0,1111,8676
17000,0,1101,8675
17000,0,1111,8669
17000,0,1111,8678
17000,0,1103,8690
17000,0,1110,8678
17000,0,1115,8674
17000,0,1119,8674
17000,0,1115,8635
17000,0,1107,8673
17000,0,1111,8676
17000,0,1108,8674
17000,0,1118,8667
17000,0,1107,8676
17000,0,1087,8710
17000,0,1111,8668
17000,0,1135,8673
17000,0,1098,8674
17000,0,1101,8676
17000,0,1110,8685
17000,0,1107,8676
17000,0,1107,8647
17000,0,1106,8685
17000,0,1109,8690
17000,0,1106,8683
17000,0,1115,8677
17000,0,1111,8678
17000,0,1117,8674
17000,0,1115,8678
17000,0,1115,8677
17000,0,1119,8668
17000,0,1103,8679
17000,0,1124,8672
17000,0,1128,8673
17000,0,1115,8677
17000,0,1109,8660
17000,0,1086,8678
17000,0,1111,8668
17000,0,1115,8679
17000,0,1097,8677
17000,0,1115,8683
17000,0,1111,8669
17000,0,1111,8677
17000,0,1109,8673
17000,0,1114,8679
17000,0,1119,8668
17000,0,1111,8676
17000,0,1119,8684
17000,0,1115,8685
17000,0,1111,8674
17000,0,1114,8669
17000,0,1107,8733
17000,0,1111,8691
17000,0,1111,8675
17000,0,1105,8674
17000,0,1113,8662
17000,0,1111,8667
17000,0,1119,8669
17000,0,1128,8679
17000,0,1119,8679
17000,0,1112,8670
17000,0,1115,8669
17000,0,1110,8674
17000,0,1119,8676
17000,0,1111,8676
17000,0,1119,8678
17000,0,1086,8691
17000,0,1112,8670
17000,0,1113,8669
17000,0,1128,8673
17000,0,1116,8676
17000,0,1110,8669
17000,0,1111,8688
17000,0,1115,8669
17000,0,1113,8677
17000,0,1119,8665
17000,0,1113,8685
17000,0,1111,8678
17000,0,1113,8679
17000,0,1115,8679
17000,0,1111,8662
17000,0,1118,8677
17000,0,1113,8690
17000,0,1119,8677
17000,0,1113,8688
17000,0,1113,8677
17000,0,1115,8680
17000,0,1119,8669
17000,0,1115,8674
17000,0,1117,8678
17000,0,1113,8673
17000,0,1115,8686
17000,0,1115,8670
17000,0,1087,8672
17000,0,1107,8689
17000,0,1117,8680
17000,0,1114,8661
17000,0,1117,8678
17000,0,1110,8679
17000,0,1167,8684
17000,0,1117,8678
17000,0,1107,8676
17000,0,1119,8659
17000,0,1163,8664
17000,0,1115,8680
17000,0,1117,8678
17000,0,1142,8680
17000,0,1112,8707
17000,0,1111,8675
17000,0,1149,8654
17000,0,1107,8671
17000,0,1110,8671
17000,0,1113,8672
17000,0,1116,8687
17000,0,1115,8680
17000,0,1113,8699
17000,0,1113,8677
17000,0,1119,8656
17000,0,1118,8671
17000,0,1117,8666
17000,0,1102,8680
17000,0,1115,8677
17000,0,1111,8679
17000,0,1111,8681
17000,0,1115,8672
17000,0,1119,8685
17000,0,1113,8678
17000,0,1115,8679
17000,0,1127,8673
17000,0,1115,8681
17000,0,1118,8679
17000,0,1117,8672
17000,0,1119,8680
17000,0,1115,8686
17000,0,1115,8672
17000,0,1115,8676
17000,0,1119,8677
17000,0,1115,8680
17000,0,1115,8657
17000,0,1115,8676
17000,0,1119,8688
17000,0,1119,8685
17000,0,1109,8670
17000,0,1119,8677
17000,0,1115,8674
17000,0,1119,8672
17000,0,1113,8675
17000,0,1119,8672
17000,0,1119,8671
17000,0,1126,8679
17000,0,1119,8707
17000,0,1132,8676
17000,0,1119,8674
17000,0,1119,8676
17000,0,1119,8676
17000,0,1119,8676
17000,0,1119,8679
17000,0,1117,8673
17000,0,1115,8676
17000,0,1119,8673
17000,0,1115,8680
17000,0,1123,8672
17000,0,1118,8668
17000,0,1119,8666
17000,0,1112,8670
17000,0,1109,8673
17000,0,1119,8677
17000,0,1126,8670
